player_id,Name,height_cm,weight_kg,score,rebounds,assists,steals,blocks,overall_hit_rate,three_point_hit_rate,offence_score,defence_score,overall_score,jersey_number,position,team,wages
246,Zaza Pachulia,210,122,4.6,4.7,1.5,0.7,0.3,0.430,0.000,66,76,70,27,C,Pistons,4
247,Stanley Johnson,200,111,7.5,3.6,1.3,1,0.3,0.341,0.226,66,70,68,3,SF,Pistons,3
248,Jose Calderon,190,90,2.5,1.2,2.5,0.4,0.1,0.345,0.207,66,66,66,81,PG,Pistons,3
249,Bruce Brown,195,91.6,4.6,2.8,1.3,0.4,0.5,0.341,0.190,65,64,65,6,SG,Pistons,3
250,Kevin Love,208,113,16,11,3,0.2,0.2,0.312,0.242,86,76,88,0,PF,Cavaliers,6
251,Jordan Clarkson,195,88,16.8,3.4,2.4,0.7,0.2,0.442,0.307,76,72,76,8,SG,Cavaliers,5
252,Collin Sexton,187,86.2,14.8,3,2.8,0.5,0.1,0.406,0.340,76,72,76,2,PG,Cavaliers,5
253,Tristan Thompson,208,107.8,11.5,11.1,2.1,0.8,0.5,0.540,0.000,70,75,75,13,C,Cavaliers,5
254,Cedi Osman,203,97.5,12.6,4.6,2.3,0.8,0.2,0.400,0.285,70,77,77,16,SF,Cavaliers,5
255,Larry Nance Jr.,205,104.3,8.8,7.9,3.1,1.4,0.6,0.506,0.176,66,76,70,22,PF,Cavaliers,4
256,Ante Zizic,210,115.2,6.8,5.1,0.6,0.2,0.4,0.454,0.000,66,70,68,41,C,Cavaliers,3
257,Channing Frye,213,115,3.4,1.6,0.6,0.2,0.1,0.326,0.328,66,66,66,9,PF,Cavaliers,3
258,David Nwaba,193,99,6.8,3.1,0.8,0.7,0.3,0.390,0.230,65,64,65,12,PG,Cavaliers,3
259,John Wall,193,95.2,20.7,3.6,8.7,1.5,0.9,0.426,0.277,86,85,89,2,PG,Wizards,6
260,Bradley Beal,195,93.9,24.9,5.1,5.2,1.4,0.8,0.479,0.356,90,80,89,3,PG,Wizards,6
261,Dwight Howard,210,120,12.8,9.2,0.4,0.8,0.4,0.606,0.000,72,84,82,21,C,Wizards,5
262,Bobby Portis,210,113,14.8,7.3,1.3,0.5,0.3,0.457,0.345,75,77,77,5,PF,Wizards,5
263,Jabari Parker,203,111.1,14.1,6.3,2.3,0.7,0.4,0.450,0.265,77,73,76,12,SF,Wizards,5
264,Kelly Oubre Jr.,200,93,12.9,4.4,0.7,0.9,0.7,0.427,0.319,77,77,77,3,SF,Wizards,5
265,Thomas Bryant,210,112.5,9.6,5.8,1.1,0.4,0.8,0.594,0.174,66,76,70,13,C,Wizards,4
266,Trevor Ariza,203,97.5,12.3,5.5,3.8,1.5,0.2,0.378,0.333,66,70,68,1,SF,Wizards,3
267,Markieff Morris,208,111.1,11.5,5.1,1.8,0.7,0.6,0.416,0.284,66,66,66,0,PF,Wizards,3
